Sample name(s),Total Input Reads,Trimmed Reads (all),Trimmed Reads (unique),All miRNA Reads,Filtered miRNA Reads,Unique miRNAs,Hairpin miRNAs,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,ncRNA others,mRNA Reads,Remaining Reads
182_S25_R1_001,32487975,29832838,193494,23432485,23415790,429,1470,61659,42,42699,249078,4979659,52254,1013492
112_S27_R1_001,35082127,34689443,118899,31854825,31848445,408,804,49268,20,3797,85345,2169580,13353,512451
15-7p150_S32_R1_001,13954243,10889406,71177,7013070,7004996,202,15,82913,0,1531,130792,1133576,10605,2516904
192_S22_R1_001,31607126,30467741,129835,26491918,26478969,369,1075,69815,33,7662,152548,2809306,20431,914953
15-1p16_S33_R1_001,11801051,5857435,121410,1171842,1158528,269,791,151853,2,963,183199,626464,8805,3713516
121_S24_R1_001,30369638,29334697,106679,25893738,25880859,340,565,91490,44,12356,221929,2286261,19731,808583
153_S15_R1_001,26548109,26221338,107633,24124272,24117104,376,935,64294,31,4703,116637,1374026,12849,523591
124_S16_R1_001,34358446,34036973,116315,30898857,30889974,374,1023,53115,25,5868,97564,2451894,12463,516164
166_S4_R1_001,28726996,28422335,109924,25568266,25564718,362,1342,140590,58,17403,196671,1957203,15811,524991
059_S13_R1_001,42835471,42494358,146868,38897675,38885758,420,1125,64019,24,6188,122034,2764460,14704,624129
167_S23_R1_001,43116724,41137946,145951,34528776,34521900,273,6640,83749,1,41293,354917,4619912,41714,1460944
149_S3_R1_001,31365594,30954974,111290,28641111,28636184,377,1246,85358,15,8334,150132,1390655,23418,654705
093_S6_R1_001,28906182,28503698,93477,26446207,26438472,338,762,41315,22,5817,108976,1353700,9403,537496
144_S5_R1_001,25076982,24602596,90700,23146913,23140663,364,513,38318,3,3658,64132,860918,8870,479271
062_S19_R1_001,43183146,42526296,151496,30216393,30206329,443,3012,84825,27,8268,141515,11394414,18094,659748
179_S26_R1_001,27569562,26401515,134343,22291262,22279715,393,2134,195754,37,9641,219339,2378133,34404,1270811
138_S30_R1_001,37628057,37236410,140484,33187629,33179173,421,1535,82032,29,12204,134522,3227429,17128,573902
033_S21_R1_001,31597523,30490902,167812,26451706,26441247,394,2010,232898,33,15751,161868,2647284,23700,955652
6c_S47_R1_001,44650943,44360231,281063,13410678,13398576,484,41678,26048852,2056,131301,397024,588332,94153,3646157
123_S20_R1_001,31482360,30905715,128737,28125480,28116909,413,725,74275,39,11588,124997,1861814,16972,689825
1c_S43_R1_001,24409901,23382577,471029,10450046,10435406,476,16333,5125043,246,76486,5612874,830896,77691,1192962
29-7p16_S41_R1_001,12205768,5007321,125795,445399,439475,240,450,30581,0,419,164886,255792,3429,4106365
Undetermined_S0_R1_001,75491079,74212014,3296918,18075838,18063661,469,2095,1037229,68,22893,308368,1281748,20119,53463656
197_S2_R1_001,30723928,29646114,95098,26223424,26212655,284,1114,49296,20,7156,164480,2247662,15434,937528
